year,quarter,mineral,expenditure_aud_million
2011,2,all_minerals,907.4
2011,2,coal,202.7
2011,2,gold,178.2
2011,2,iron_ore,214.7
2011,2,uranium,46.6
2011,3,all_minerals,983.4
2011,3,coal,227.4
2011,3,gold,184.2
2011,3,iron_ore,234.7
2011,3,uranium,54.0
2011,4,all_minerals,1032.4
2011,4,coal,217.7
2011,4,gold,200.0
2011,4,iron_ore,311.8
2011,4,uranium,45.6
2012,1,all_minerals,876.1
2012,1,coal,177.5
2012,1,gold,168.8
2012,1,iron_ore,267.9
2012,1,uranium,29.3
2012,2,all_minerals,1061.1
2012,2,coal,211.7
2012,2,gold,215.0
2012,2,iron_ore,336.2
2012,2,uranium,24.7
2012,3,all_minerals,894.7
2012,3,coal,170.6
2012,3,gold,194.4
2012,3,iron_ore,280.5
2012,3,uranium,23.5
2012,4,all_minerals,823.9
2012,4,coal,149.2
2012,4,gold,162.7
2012,4,iron_ore,278.4
2012,4,uranium,20.8
2013,1,all_minerals,672.2
2013,1,coal,104.5
2013,1,gold,154.7
2013,1,iron_ore,248.2
2013,1,uranium,12.4
2013,2,all_minerals,664.6
2013,2,coal,119.7
2013,2,gold,150.0
2013,2,iron_ore,204.2
2013,2,uranium,12.8
2013,3,all_minerals,638.4
2013,3,coal,109.6
2013,3,gold,132.2
2013,3,iron_ore,222.2
2013,3,uranium,16.1
2013,4,all_minerals,547.4
2013,4,coal,106.4
2013,4,gold,116.5
2013,4,iron_ore,184.2
2013,4,uranium,11.0
2014,1,all_minerals,407.6
2014,1,coal,101.8
2014,1,gold,81.7
2014,1,iron_ore,115.2
2014,1,uranium,6.4
2014,2,all_minerals,515.0
2014,2,coal,80.9
2014,2,gold,103.9
2014,2,iron_ore,189.0
2014,2,uranium,10.4
2014,3,all_minerals,457.7
2014,3,coal,80.3
2014,3,gold,90.0
2014,3,iron_ore,142.9
2014,3,uranium,9.9
2014,4,all_minerals,459.2
2014,4,coal,78.0
2014,4,gold,101.7
2014,4,iron_ore,145.1
2014,4,uranium,12.8
2015,1,all_minerals,317.7
2015,1,coal,43.4
2015,1,gold,91.6
2015,1,iron_ore,82.5
2015,1,uranium,7.5
2015,2,all_minerals,344.1
2015,2,coal,50.1
2015,2,gold,112.4
2015,2,iron_ore,77.2
2015,2,uranium,10.4
2015,3,all_minerals,394.0
2015,3,coal,56.3
2015,3,gold,133.7
2015,3,iron_ore,82.2
2015,3,uranium,15.4
2015,4,all_minerals,382.8
2015,4,coal,63.4
2015,4,gold,138.2
2015,4,iron_ore,74.5
2015,4,uranium,10.7
2016,1,all_minerals,290.4
2016,1,coal,23.4
2016,1,gold,119.3
2016,1,iron_ore,57.7
2016,1,uranium,7.9
2016,2,all_minerals,353.9
2016,2,coal,30.3
2016,2,gold,156.9
2016,2,iron_ore,76.8
2016,2,uranium,4.3
2016,3,all_minerals,379.5
2016,3,coal,37.2
2016,3,gold,159.1
2016,3,iron_ore,79.8
2016,3,uranium,4.9
2016,4,all_minerals,403.1
2016,4,coal,33.3
2016,4,gold,182.3
2016,4,iron_ore,73.7
2016,4,uranium,6.3
2017,1,all_minerals,337.6
2017,1,coal,23.9
2017,1,gold,155.2
2017,1,iron_ore,53.5
2017,1,uranium,5.1
2017,2,all_minerals,444.9
2017,2,coal,26.0
2017,2,gold,192.6
2017,2,iron_ore,84.3
2017,2,uranium,5.2
2017,3,all_minerals,475.2
2017,3,coal,35.1
2017,3,gold,192.9
2017,3,iron_ore,83.8
2017,3,uranium,6.6
2017,4,all_minerals,496.1
2017,4,coal,39.0
2017,4,gold,208.9
2017,4,iron_ore,68.9
2017,4,uranium,2.9
2018,1,all_minerals,438.7
2018,1,coal,36.4
2018,1,gold,187.4
2018,1,iron_ore,50.1
2018,1,uranium,1.9
2018,2,all_minerals,567.8
2018,2,coal,43.6
2018,2,gold,220.9
2018,2,iron_ore,89.0
2018,2,uranium,1.6
2018,3,all_minerals,584.4
2018,3,coal,43.6
2018,3,gold,239.7
2018,3,iron_ore,86.3
2018,3,uranium,5.2
2018,4,all_minerals,592.7
2018,4,coal,50.0
2018,4,gold,244.1
2018,4,iron_ore,75.5
2018,4,uranium,3.6
2019,1,all_minerals,505.7
2019,1,coal,36.0
2019,1,gold,223.0
2019,1,iron_ore,67.4
2019,1,uranium,2.3
