project,commodity,year,first_export_year,years_since_first_export,equity_initial,equity_current,nameplate_mtpa,japanese_equity_pct,japanese_equity_change_flag,mtpa_production,japan_share_of_output_pct,first_jsm_spa_year,has_spa_through_2010,has_japanese_spa,spa_age_years,coal_australian_usd_per_mt,iron_ore_cfr_spot_usd_per_dmtu,lng_japan_usd_per_mmbtu,jpy_per_aud
Peak Downs (CQCA/BMA),coking_coal,1979,1972,7,15,50,8.0,15,0,,,1972,1,1,7.0,30.89,23.5,3.69242291557,244.9474377505246
Peak Downs (CQCA/BMA),coking_coal,1980,1972,8,15,50,8.0,15,0,,,1972,1,1,8.0,40.14083333333,28.09,5.69622732832,258.1751170889136
Peak Downs (CQCA/BMA),coking_coal,1981,1972,9,15,50,8.0,15,0,,,1972,1,1,9.0,53.62,28.09,6.03034143534,253.4269567644115
Peak Downs (CQCA/BMA),coking_coal,1982,1972,10,15,50,8.0,15,0,,,1972,1,1,10.0,54.7675,32.5,6.05162239889,252.64839944956657
Peak Downs (CQCA/BMA),coking_coal,1983,1972,11,15,50,8.0,15,0,,,1972,1,1,11.0,38.1875,29.0,5.54581574773,213.9715831267073
Peak Downs (CQCA/BMA),coking_coal,1984,1972,12,15,50,8.0,15,0,,,1972,1,1,12.0,30.95833333333,26.15,5.23768078193,208.4409873073626
Peak Downs (CQCA/BMA),coking_coal,1985,1972,13,15,50,8.0,15,0,,,1972,1,1,13.0,33.75,26.56,5.23,166.58751753169312
Peak Downs (CQCA/BMA),coking_coal,1986,1972,14,15,50,8.0,15,0,,,1972,1,1,14.0,31.125,26.26,4.1,112.64889268558773
Peak Downs (CQCA/BMA),coking_coal,1987,1972,15,15,50,8.0,15,0,,,1972,1,1,15.0,27.5,25.3,3.35,101.27399907574674
Peak Downs (CQCA/BMA),coking_coal,1988,1972,16,15,50,8.0,15,0,,,1972,1,1,16.0,34.875,24.3,3.34,100.12566004075865
Peak Downs (CQCA/BMA),coking_coal,1989,1972,17,15,50,8.0,15,0,,,1972,1,1,17.0,38.0,27.83,3.28,109.09756470442484
Peak Downs (CQCA/BMA),coking_coal,1990,1972,18,15,50,8.0,15,0,,,1972,1,1,18.0,39.66666666667,32.5,3.64,113.02583544313649
Peak Downs (CQCA/BMA),coking_coal,1991,1972,19,15,50,8.0,15,0,,,1972,1,1,19.0,39.66666666667,34.76,3.99,104.93168807412157
Peak Downs (CQCA/BMA),coking_coal,1992,1972,20,15,50,8.0,15,0,,,1972,1,1,20.0,38.5625,33.1,3.59511258333,93.0132474243839
Peak Downs (CQCA/BMA),coking_coal,1993,1972,21,15,50,8.0,15,0,,,1972,1,1,21.0,31.33333333333,29.09,3.50659875,75.61594619283333
Peak Downs (CQCA/BMA),coking_coal,1994,1972,22,15,50,8.0,15,0,,,1972,1,1,22.0,32.3,26.47,3.18,74.72691907212626
Peak Downs (CQCA/BMA),coking_coal,1995,1972,23,15,50,8.0,15,0,,,1972,1,1,23.0,39.37166666667,28.38,3.44916666667,69.72373101957639
Peak Downs (CQCA/BMA),coking_coal,1996,1972,24,15,50,8.0,15,0,,,1972,1,1,24.0,38.07416666667,30.0,3.6675,85.1257359289861
Peak Downs (CQCA/BMA),coking_coal,1997,1972,25,15,50,8.0,15,0,,,1972,1,1,25.0,35.09916666667,30.15,3.90833333333,89.79713406759785
Peak Downs (CQCA/BMA),coking_coal,1998,1972,26,15,50,8.0,15,0,,,1972,1,1,26.0,29.23083333333,31.0,3.01916666667,82.23581521039262
Peak Downs (CQCA/BMA),coking_coal,1999,1972,27,15,50,8.0,15,0,,,1972,1,1,27.0,25.89166666667,27.59,3.1375,73.49063195586955
Peak Downs (CQCA/BMA),coking_coal,2000,1972,28,15,50,8.0,15,0,,,1972,1,1,28.0,26.25,28.79,4.7125,62.47903074318547
Peak Downs (CQCA/BMA),coking_coal,2001,1972,29,15,50,8.0,50,1,,,1972,1,1,29.0,32.3125,30.03,4.63416666667,62.85625122029748
Peak Downs (CQCA/BMA),coking_coal,2002,1972,30,15,50,8.0,50,0,,,1972,1,1,30.0,25.309375,29.31,4.28166666667,68.12483638380495
Peak Downs (CQCA/BMA),coking_coal,2003,1972,31,15,50,8.0,50,0,,,1972,1,1,31.0,26.090625,31.95,4.73083333333,75.18801414043264
Peak Downs (CQCA/BMA),coking_coal,2004,1972,32,15,50,8.0,50,0,,,1972,1,1,32.0,52.94791666667,37.9,5.1275,79.56783985811168
Peak Downs (CQCA/BMA),coking_coal,2005,1972,33,15,50,8.0,50,0,,,1972,1,1,33.0,47.62090277778,65.0,5.99,84.16987872987151
Peak Downs (CQCA/BMA),coking_coal,2006,1972,34,15,50,8.0,50,0,,,1972,1,1,34.0,49.08958333333,69.33333333333,7.075,87.57653437924084
Peak Downs (CQCA/BMA),coking_coal,2007,1972,35,15,50,8.0,50,0,,,1972,1,1,35.0,65.733125,122.9875,7.68333333333,98.53254021548231
Peak Downs (CQCA/BMA),coking_coal,2008,1972,36,15,50,8.0,50,0,,,1972,1,1,36.0,127.10416666667,155.99333333333,12.52666666667,86.69801411275519
Peak Downs (CQCA/BMA),coking_coal,2009,1972,37,15,50,8.0,50,0,,,1972,1,1,37.0,71.84416666667,79.97916666667,8.93583333333,72.97684112597862
Peak Downs (CQCA/BMA),coking_coal,2010,1972,38,15,50,8.0,50,0,,,1972,1,1,38.0,98.96604166667,145.86318542569,10.84833333333,80.5202138734196
Robe River,iron_ore,1972,1972,0,35,47,15.0,35,0,15.0,,1972,1,1,0.0,9.6,10.33,,361.4800198281875
Robe River,iron_ore,1973,1972,1,35,47,15.0,35,0,,,1972,1,1,1.0,11.48,10.33,,385.8774320346885
Robe River,iron_ore,1974,1972,2,35,47,15.0,35,0,,,1972,1,1,2.0,16.89,13.38,,419.2576572901995
Robe River,iron_ore,1975,1972,3,35,47,15.0,35,0,,,1972,1,1,3.0,26.84,17.3,,388.5307902185058
Robe River,iron_ore,1976,1972,4,35,47,15.0,35,0,,,1972,1,1,4.0,27.16,22.72,,362.4077583833099
Robe River,iron_ore,1977,1972,5,35,47,15.0,47,1,,,1972,1,1,5.0,28.67851851852,23.06,2.77116287282,297.7406928140977
Robe River,iron_ore,1978,1972,6,35,47,15.0,47,0,,,1972,1,1,6.0,29.05865740741,21.45,3.03608084204,240.8738497381832
Robe River,iron_ore,1979,1972,7,35,47,15.0,47,0,,,1972,1,1,7.0,30.89,23.5,3.69242291557,244.9474377505246
Robe River,iron_ore,1980,1972,8,35,47,15.0,47,0,,,1972,1,1,8.0,40.14083333333,28.09,5.69622732832,258.1751170889136
Robe River,iron_ore,1981,1972,9,35,47,15.0,47,0,,,1972,1,1,9.0,53.62,28.09,6.03034143534,253.4269567644115
Robe River,iron_ore,1982,1972,10,35,47,15.0,47,0,,,1972,1,1,10.0,54.7675,32.5,6.05162239889,252.64839944956657
Robe River,iron_ore,1983,1972,11,35,47,15.0,47,0,,,1972,1,1,11.0,38.1875,29.0,5.54581574773,213.9715831267073
Robe River,iron_ore,1984,1972,12,35,47,15.0,47,0,,,1972,1,1,12.0,30.95833333333,26.15,5.23768078193,208.4409873073626
Robe River,iron_ore,1985,1972,13,35,47,15.0,47,0,,,1972,1,1,13.0,33.75,26.56,5.23,166.58751753169312
Robe River,iron_ore,1986,1972,14,35,47,15.0,47,0,,,1972,1,1,14.0,31.125,26.26,4.1,112.64889268558773
Robe River,iron_ore,1987,1972,15,35,47,15.0,47,0,,,1972,1,1,15.0,27.5,25.3,3.35,101.27399907574674
Robe River,iron_ore,1988,1972,16,35,47,15.0,47,0,,,1972,1,1,16.0,34.875,24.3,3.34,100.12566004075865
Robe River,iron_ore,1989,1972,17,35,47,15.0,47,0,,,1972,1,1,17.0,38.0,27.83,3.28,109.09756470442484
Robe River,iron_ore,1990,1972,18,35,47,15.0,47,0,,,1972,1,1,18.0,39.66666666667,32.5,3.64,113.02583544313649
Robe River,iron_ore,1991,1972,19,35,47,15.0,47,0,,,1972,1,1,19.0,39.66666666667,34.76,3.99,104.93168807412157
Robe River,iron_ore,1992,1972,20,35,47,15.0,47,0,,,1972,1,1,20.0,38.5625,33.1,3.59511258333,93.0132474243839
Robe River,iron_ore,1993,1972,21,35,47,15.0,47,0,,,1972,1,1,21.0,31.33333333333,29.09,3.50659875,75.61594619283333
Robe River,iron_ore,1994,1972,22,35,47,15.0,47,0,,,1972,1,1,22.0,32.3,26.47,3.18,74.72691907212626
Robe River,iron_ore,1995,1972,23,35,47,15.0,47,0,,,1972,1,1,23.0,39.37166666667,28.38,3.44916666667,69.72373101957639
Robe River,iron_ore,1996,1972,24,35,47,15.0,47,0,,,1972,1,1,24.0,38.07416666667,30.0,3.6675,85.1257359289861
Robe River,iron_ore,1997,1972,25,35,47,15.0,47,0,,,1972,1,1,25.0,35.09916666667,30.15,3.90833333333,89.79713406759785
Robe River,iron_ore,1998,1972,26,35,47,15.0,47,0,,,1972,1,1,26.0,29.23083333333,31.0,3.01916666667,82.23581521039262
Robe River,iron_ore,1999,1972,27,35,47,15.0,47,0,,,1972,1,1,27.0,25.89166666667,27.59,3.1375,73.49063195586955
Robe River,iron_ore,2000,1972,28,35,47,15.0,47,0,,,1972,1,1,28.0,26.25,28.79,4.7125,62.47903074318547
Robe River,iron_ore,2001,1972,29,35,47,15.0,47,0,,,1972,1,1,29.0,32.3125,30.03,4.63416666667,62.85625122029748
Robe River,iron_ore,2002,1972,30,35,47,15.0,47,0,,,1972,1,1,30.0,25.309375,29.31,4.28166666667,68.12483638380495
Robe River,iron_ore,2003,1972,31,35,47,15.0,47,0,,,1972,1,1,31.0,26.090625,31.95,4.73083333333,75.18801414043264
Robe River,iron_ore,2004,1972,32,35,47,15.0,47,0,,,1972,1,1,32.0,52.94791666667,37.9,5.1275,79.56783985811168
Robe River,iron_ore,2005,1972,33,35,47,15.0,47,0,,,1972,1,1,33.0,47.62090277778,65.0,5.99,84.16987872987151
Robe River,iron_ore,2006,1972,34,35,47,15.0,47,0,,,1972,1,1,34.0,49.08958333333,69.33333333333,7.075,87.57653437924084
Robe River,iron_ore,2007,1972,35,35,47,15.0,47,0,,,1972,1,1,35.0,65.733125,122.9875,7.68333333333,98.53254021548231
Robe River,iron_ore,2008,1972,36,35,47,15.0,47,0,,,1972,1,1,36.0,127.10416666667,155.99333333333,12.52666666667,86.69801411275519
Robe River,iron_ore,2009,1972,37,35,47,15.0,47,0,,,1972,1,1,37.0,71.84416666667,79.97916666667,8.93583333333,72.97684112597862
Robe River,iron_ore,2010,1972,38,35,47,15.0,47,0,,,1972,1,1,38.0,98.96604166667,145.86318542569,10.84833333333,80.5202138734196
Saraji (CQCA/BMA),coking_coal,1974,1974,0,15,50,5.0,15,0,5.0,,1974,1,1,0.0,16.89,13.38,,419.2576572901995
Saraji (CQCA/BMA),coking_coal,1975,1974,1,15,50,5.0,15,0,,,1974,1,1,1.0,26.84,17.3,,388.5307902185058
Saraji (CQCA/BMA),coking_coal,1976,1974,2,15,50,5.0,15,0,,,1974,1,1,2.0,27.16,22.72,,362.4077583833099
Saraji (CQCA/BMA),coking_coal,1977,1974,3,15,50,5.0,15,0,,,1974,1,1,3.0,28.67851851852,23.06,2.77116287282,297.7406928140977
