Agencies,ProjID,ProjName,PrimTech,Lat,Long
ARENA,2012/PFD082,"1-URE003: CSIRO, Jacek Jasieniak, Work at Uni California Santa Barbara on Development of solution deposited thin-film tandem solar cells",Solar PV,-37.920354,145.131863
ARENA,2012/PFD083,"2-IRE001: AECOM, Jennifer Riesz, Visit US NREL to investigate integration of renewables into power systems including the energy market",Enabling,-33.885842,151.200362
ARENA,2012/PFD086,1-URE001: Dr John Pye - Better Modelling of Concentrated Solar Thermal Power Plants,Solar Thermal,-35.275111,149.121036
ARENA,2012/PFD087,1-IRE001: Christopher Felix Venn: Integration of State-of-the-art Technologies into Wizard Power?ö?ç?ûs Big Dish,Solar Thermal,-35.274751,149.123682
ARENA,2012/REVC001,Southern Cross Renewable Energy Fund,Enabling,-33.863904,151.208514
ARENA,2013/ABI001,Biomass to Biocrude: Producing Advanced Drop-in Fuels for Australia,Bioenergy,-33.358219,151.2902
ARENA,2013/ABI002,Advancing Established and Integrated Marine Microalgae Biofuel to Commercialisation,Bioenergy,-32.992818,137.57034
ARENA,2013/ASI015,1-SRI001: UNSW: Australia-US Institute for Advanced Photovoltaics (AUSIAPV),Solar PV,-33.910275,151.22337
ARENA,2013/ASI016,1-SRI002: CSIRO: Australian Solar Thermal Research Institute (ASTRI),Solar Thermal,-32.884541,151.728686
ARENA,2013/ASI024,1-USO006:CSIRO: Australian Solar Energy Forecasting System (ASEFS) ?ö?ç?? Phase 1,Enabling,-32.884541,151.728686
ARENA,2013/ASI025,1-USO012:Australian National University : Machine-learning-based forecasting of distributed solar energy production,Enabling,-35.27798,149.115354
ARENA,2013/ASI029,"1-USO028:UNSW : Low-cost, high-efficiency Copper-Zinc-Tin-Sulphide (CZTS) on silicon multi-junction solar cells",Solar PV,-33.910275,151.22337
ARENA,2013/ASI030,1-USO031:CSIRO: Optimisation of Central Receivers for Advanced Power Cycles,Solar Thermal,-32.884541,151.728686
ARENA,2013/ASI032,1-USO033:CSIRO: Development of Combined Cycle using solar reformed gas in North Western Australia,Solar Thermal,-32.884541,151.728686
ARENA,2013/ASI033,1-USO034:UNSW : Tools for design and scale-up of solar thermochemical reactors,Solar Thermal,-33.910275,151.22337
ARENA,2013/ASI034,1-USOMUSIC: RMIT University: Micro-urban solar integrated concentrators (MUSIC),Solar Thermal,-37.80828,144.963642
ARENA,2013/ASI047,"3-A004: RayGen Resources, Central Receiver CPV Pilot Project ?ö?ç?? Stage",Solar PV,-36.708807,143.960603
